numofvars,index,v1,v2,v3,v4,v5,class,cluster,exemplar
5,1,65,25.3,5.8,1.3,0.2,1,8,2
5,2,65,18.2,10,1.3,0.1,1,8,2
5,3,67,23.3,7.4,1.8,-0.6,1,8,2
5,4,68,14.7,7.8,0.6,-0.2,1,8,2
5,5,76,25.3,4.5,1.2,-0.1,1,8,2
5,6,90,8.1,1.6,1.4,1.1,0,9,10
5,7,98,10.4,1.6,2.3,-0.7,0,9,10
5,8,95,11.1,2.7,1.6,-0.3,1,9,10
5,9,99,13,3.1,0.5,-0.1,1,9,10
5,10,97,14.2,3.6,1.5,0.3,1,9,10
5,11,98,16.7,4.3,1.7,0.2,1,9,10
5,12,94,20.5,1.8,1.4,-0.5,1,9,10
5,13,99,17.5,1.9,1.4,0.3,1,9,10
5,14,92,11.1,2,0.7,-0.2,1,9,10
5,15,89,14.3,4.1,0.5,0.2,1,10,21
5,16,89,23.8,5.4,0.5,0.1,1,10,21
5,17,88,12.9,2.7,0.1,0.2,1,10,21
5,18,80,23,10,0.9,-0.1,1,10,21
5,19,89,21.8,7.1,0.7,-0.1,1,10,21
5,20,84,21.5,2.7,1.1,-0.6,1,10,21
5,21,84,18.5,4.4,1.1,-0.3,1,10,21
5,22,88,16.5,4.9,0.8,0.1,1,10,21
5,23,79,19,5.5,0.9,0.3,1,10,21
